RefID,"1. Was an ""a priori"" design provided?",2. Was there duplicate study selection and data extraction?,3. Was a comprehensive literature search performed?,4. Was the status of publication (i.e. grey literature) used as an inclusion criteria?,5. Was a list of studies (included and excluded) provided?,6. Were the characteristics of the included studies provided?,7. Was the scientific quality of the included studies assessed and documented?,8. Was the scientific quality of the included studies used appropriate in formulating conclusions?,9. Were the methods used to combine the findings of studies appropriate?,10. Was the likelihood of publication bias assessed?,11. Was the conflict of interest included?,Total score,Note
49,3,4,4,4,2,3,4,1,3,1,2,31,
55,3,2,4,2,2,4,3,1,3,3,2,29,
70,4,4,4,1,1,1,4,1,1,1,3,25,
94,2,3,4,2,2,3,4,3,3,3,3,32,
95,4,4,4,2,2,3,4,1,3,2,2,31,
99,3,4,4,3,2,3,4,3,4,3,2,35,
102,4,4,4,2,2,3,2,4,1,1,3,30,
107,4,4,4,1,2,3,4,2,3,1,2,30,
111,3,4,4,3,2,3,1,1,3,3,3,30,
113,2,3,3,3,2,3,3,1,2,2,1,25,
120,4,4,3,2,2,3,4,1,2,1,3,29,
121,3,4,4,2,2,3,2,1,2,2,2,27,
145,3,4,4,4,4,3,4,4,4,3,3,40,
146,3,4,4,4,4,3,4,4,2,2,3,37,
153,3,1,1,2,2,2,4,1,2,1,3,22,
201,3,4,2,1,2,3,4,1,4,2,2,28,
211,4,3,2,2,1,1,4,3,3,2,2,27,
214,3,4,3,4,2,4,2,1,2,1,2,28,
215,4,4,4,2,2,3,4,2,3,2,3,33,
217,3,4,4,4,2,3,4,3,4,3,3,37,
221,3,4,2,1,2,3,1,1,4,3,2,26,
222,3,4,3,2,2,3,3,3,3,3,1,30,
225,4,1,2,1,1,4,1,1,2,1,3,21,
227,4,4,4,1,2,3,3,2,3,2,3,31,
256,2,4,3,2,2,3,4,3,1,1,2,27,
269,3,1,3,1,2,3,4,3,3,3,1,27,
282,3,2,3,2,2,3,4,3,2,2,1,27,
288,4,4,4,3,2,4,4,1,2,3,3,34,
301,3,4,4,2,2,4,4,4,4,4,3,38,
326,3,1,3,2,2,4,4,4,3,1,1,28,
327,3,4,2,2,2,4,3,1,3,4,2,30,
358,3,2,4,2,2,4,4,4,4,4,2,35,
378,4,4,3,4,2,3,4,4,4,4,3,39,
396,3,4,2,2,1,1,1,1,4,1,1,21,
399,3,1,4,2,2,4,4,1,4,2,1,28,
413,3,1,4,2,2,3,4,4,2,4,2,31,
415,4,2,4,3,2,4,4,4,4,1,2,34,
417,3,4,4,2,2,4,1,1,2,1,3,27,
440,3,1,4,2,2,4,1,1,1,1,3,23,
448,3,4,4,2,1,4,1,1,3,3,1,27,
463,3,2,4,2,2,4,1,1,2,4,4,29,
465,3,4,4,2,1,2,4,1,3,4,3,31,
490,3,1,1,1,1,1,1,1,4,1,3,18,
498,3,2,4,1,1,2,4,1,1,1,2,22,
510,3,4,2,1,1,4,1,1,3,3,1,24,
535,3,4,3,1,1,4,1,1,2,1,1,22,
538,3,1,4,1,1,4,1,1,2,2,2,22,
551,2,1,3,3,2,4,4,1,3,3,2,28,
567,3,4,4,2,2,4,1,1,3,2,2,28,
569,4,2,3,1,2,3,4,2,4,4,2,31,
570,3,2,4,4,4,3,4,3,4,1,3,35,
586,3,4,3,1,1,1,1,1,2,1,2,20,
590,3,3,4,2,1,1,1,1,2,1,1,20,
638,3,1,2,2,2,3,1,1,2,3,2,22,
657,3,2,4,1,3,2,2,1,3,1,1,23,
688,3,1,2,2,1,3,1,1,3,3,1,21,
693,3,2,4,3,1,1,1,1,3,4,2,25,
698,3,1,4,1,1,1,1,1,3,1,2,19,
713,2,1,2,3,1,4,4,2,4,3,2,28,
723,3,2,1,2,1,2,1,1,1,1,2,17,
725,3,4,2,2,1,4,1,1,1,2,2,23,Appendix not available to verify list of included studies
731,2,1,3,1,2,4,1,1,1,1,2,19,
732,3,1,4,1,4,3,1,1,4,1,2,25,
759,2,2,3,1,2,3,1,1,3,3,1,22,
778,2,1,3,2,1,4,1,1,4,1,2,22,
788,3,4,4,3,4,3,4,3,4,2,3,37,
810,3,2,4,3,2,3,2,1,3,2,2,27,
840,1,4,4,1,3,4,3,1,3,2,2,28,
854,3,4,4,1,4,4,4,3,2,2,2,33,
869,3,4,4,1,4,3,4,2,3,3,3,34,
875,1,2,1,2,1,4,1,1,1,2,1,17,
956,3,4,4,1,1,4,1,1,1,1,2,23,
996,4,1,3,2,4,3,4,4,3,4,2,34,
1035,3,4,4,2,4,4,4,4,3,4,3,39,
1198,4,4,4,2,3,4,4,4,1,1,2,33,
1202,3,1,3,1,2,4,3,1,1,4,3,26,
1360,3,1,4,2,4,4,4,4,3,2,2,33,
1519,4,2,3,2,1,4,4,1,3,3,3,30,
1643,3,4,2,1,1,3,4,4,2,4,2,30,
1655,3,2,4,2,1,2,1,1,1,1,2,20,
2260,2,2,3,2,2,1,3,1,3,1,1,21,
2125,3,2,4,3,1,2,1,4,3,3,3,29,
2307,3,2,4,1,2,4,4,1,4,3,2,30,
2342,3,1,3,2,1,3,3,1,3,3,3,26,
2520,3,4,4,2,2,3,4,1,3,2,2,30,
3001,3,1,4,1,2,4,3,4,3,1,2,28,
3048,3,4,3,1,1,4,1,1,1,1,2,22,Unable to confirm search strategy in other study referenced
3123,4,2,4,2,3,4,1,1,2,1,2,26,
