RefID,Setting,Title,Authors,Year,Attrition outcome,Attrition outcome definition,Attrition related analysis,Measures of effect and significance,Number of RCTs,Participants unit,Participants value,Dropout measure,Dropout statistic,Dropout value
49,Traumatic stress disorders,Less dropout from prolonged exposure sessions prescribed at least twice weekly: A meta-analysis and systematic review of randomized controlled trials.,"Levinson, Daniel B, Halverson, Tate F, Wilson, Sarah M, Fu, Rongwei",2022,Dropout rate,Number of participants who discontinued prolonged exposure (PE) without meeting the study's a priori conditions for PE completion,"Random effects model, Univariate and multivariate regression, Sensitivity analysis","Odds ratios, 95% CI, p-value",35,N,1508,Overall mean dropout rate,% [95% CI],"31.3 [26.9, 36.1]"
55,Multiple sclerosis,Attrition Within Digital Health Interventions for People With Multiple Sclerosis: Systematic Review and Meta-analysis.,"Bevens, William, Weiland, Tracey, Gray, Kathleen, Jelinek, George, Neate, Sandra, Simpson-Yap, Steve",2022,Attrition,Not defined,"Restricted maximum likelihood method, Univariate and multivariate regression","Differential attrition, risk ratio, 95% CI, p-value",29,Mean (SD),97 (121.8),NR,NR,NR
70,Smoking cessation,Predictors of recruitment and retention in randomized controlled trials of behavioural smoking cessation interventions: a systematic review and meta-regression analysis.,"Bricca, Alessio, Swithenbank, Zoe, Scott, Neil, Treweek, Shaun, Johnston, Marie, Black, Nicola, Hartmann-Boyce, Jamie, West, Robert, Michie, Susan, de Bruin, Marijn",2022,Retention rate,Number providing biochemically verified outcomes at any or follow-up assessment/number randomised,"Mixed effects model, metaregression","Odds ratios, 95% CI, p-value",172,N,89639,NR,NR,NR
70,Smoking cessation,Predictors of recruitment and retention in randomized controlled trials of behavioural smoking cessation interventions: a systematic review and meta-regression analysis.,"Bricca, Alessio, Swithenbank, Zoe, Scott, Neil, Treweek, Shaun, Johnston, Marie, Black, Nicola, Hartmann-Boyce, Jamie, West, Robert, Michie, Susan, de Bruin, Marijn",2022,Differential retention rate,Difference in number providing biochemically verified outcomes in the intervention group and number providing biochemically verified outcomes in the comparator group/number randomised,"Mixed effects model, metaregression","Odds ratios, 95% CI, p-value",172,N,89639,NR,NR,NR
94,Mental health,Data Missing Not at Random in Mobile Health Research: Assessment of the Problem and a Case for Sensitivity Analyses.,"Goldberg, Simon B, Bolt, Daniel M, Davidson, Richard J",2021,Differential attrition,Not defined,"Random effects model, Metaregression","Log Odds ratio, 95% CI, p-value, Coefficient",36,Mean (SD),143.53 (118.66),Active treatment attrition,Mean % (SD),23.32 (19.88)
94,Mental health,Data Missing Not at Random in Mobile Health Research: Assessment of the Problem and a Case for Sensitivity Analyses.,"Goldberg, Simon B, Bolt, Daniel M, Davidson, Richard J",2021,Differential attrition,Not defined,"Random effects model, Metaregression","Log Odds ratio, 95% CI, p-value, Coefficient",36,Mean (SD),143.53 (118.66),Passive treatment attrition,Mean % (SD),15.36 (15.51)
95,Multimorbidity,Recruitment and retention rates in randomised controlled trials of exercise therapy in people with multimorbidity: a systematic review and meta-analysis.,"Harris, Lasse K, Skou, Soren T, Juhl, Carsten B, Jager, Madalina, Bricca, Alessio",2021,Retention rate,"Proportion of randomised people (proportion of people providing the outcomes of interest/proportion randomised) providing physical (i.e. physical function) and/or psychosocial outcomes (i.e. HRQoL, depression symptoms and anxiety symptoms) at the end of the intervention and the follow-up closest to 12 months","Random effects model, Metaregression, Subgroup analyses","Pooled retention rate, Pooled differential retention rate, 95% CI, Tau-sq ",23,N,3363,NR,NR,NR
95,Multimorbidity,Recruitment and retention rates in randomised controlled trials of exercise therapy in people with multimorbidity: a systematic review and meta-analysis.,"Harris, Lasse K, Skou, Soren T, Juhl, Carsten B, Jager, Madalina, Bricca, Alessio",2021,Differential retention rate,"Difference in proportion of people providing physical (i.e. physical function) and/or psychosocial outcomes (i.e. HRQoL, depression symptoms and anxiety symptoms) in the intervention and comparator group, at the end of the intervention and the follow-up closest to 12 months","Random effects model, Metaregression, Subgroup analyses","Pooled retention rate, Pooled differential retention rate, 95% CI, Tau-sq ",23,N,3363,NR,NR,NR
99,Acute mania,Efficacy and safety of electroconvulsive therapy plus medication versus medication alone in acute mania: A meta-analysis of randomized controlled trials.,"Zhang, Jian, Wang, Guojun, Yang, Xi, Gao, Keming",2021,Rate of premature discontinuation,Not defined,"Random effects model, Metaregression, Sensitivity analyses","Risk ratio, 95% CI, p-value",3,N,174,NR,NR,NR
102,Cancer,The Challenges of Enrollment and Retention: A Systematic Review of Psychosocial Behavioral Interventions for Patients With Cancer and Their Family Caregivers.,"Song, Lixin, Qan'ir, Yousef, Guan, Ting, Guo, Peiran, Xu, Shenmeng, Jung, Ahrang, Idiagbonya, Eno, Song, Fengyu, Kent, Erin Elizabeth",2021,Retention rate,Not defined,Quasipoisson regression,"Coefficient, standard error, p-value",55,N,12388,NR,NR,NR
