RefID,Associated TC,Associated TC findings,Associated TC analysis,Associated TC statistic,Associated TC value,Unassociated TC
49,Treatment frequency,More frequent sessions was associated with less dropout,Univariate metaregression,OR [95% CI]; p-value; N,"0.52 [0.30, 0.89]; p=0.018; 35","Publication year, number of sessions, sample size, intervention with placebo pill, deviation bias"
49,Treatment frequency,More frequent sessions was associated with less dropout,Multivariate metaregression,OR [95% CI]; p-value; N,"0.40 [0.20, 0.78]; p=0.008; 35","Publication year, number of sessions, sample size, intervention with placebo pill, deviation bias"
49,Location,US-based studies had significantly higher dropout rates,Univariate metaregression,OR [95% CI]; p-value; N,"2.09 [1.08, 4.04]; p<0.05; 35","Publication year, number of sessions, sample size, intervention with placebo pill, deviation bias"
55,Multimedia elements score,Studies with a greater number of multimedia elements to interventions had significantly lower dropout,Univariate metaregression,DA [95% CI]; p-value,1.02 [1.00-1.04); p=0.03,"Publication year, number of sessions, sample size, intervention with placebo pill, deviation bias"
55,Multimedia elements score,Studies with a greater number of multimedia elements to digital interventions had significantly lower dropout,Multivariate metaregression,RR [95% CI]; p-value,1.04 [1.00-1.08]; p=0.03,"Publication year, number of sessions, sample size, intervention with placebo pill, deviation bias"
55,Overall engagement score,Studies with a higher-scored app intervention for engagement had significantly lower attrition,Multivariate metaregression,RR [95% CI]; p-value,1.01 [1.00-1.03]; p=0.01,"Publication year, number of sessions, sample size, intervention with placebo pill, deviation bias"
70,Recruitment method,Studies using indirect recruitment methods had significantly lower retention (higher attrition),Multivariate metaregression,OR [95% CI]; p-value; N,"0.6 [0.97, 0.38]; p=0.04","Retention strategies, non-smoking related financial inentives, biomarker assessments, primary endpoint, intervention format, treatment frequency, pharmacological support, setting, adjuvant interventions, number of behaviour change techniques (BCTs) used"
70,Follow-up duration,Studies with longer follow-up durations had significantly lower retention (higher attrition),Multivariate metaregression,OR [95% CI]; p-value; N,"0.83 [0.87, 0.79]; p<0.01","Retention strategies, non-smoking related financial inentives, biomarker assessments, primary endpoint, intervention format, treatment frequency, pharmacological support, setting, adjuvant interventions, number of behaviour change techniques (BCTs) used"
70,Financial incentives for smoking cessation,Studies using financial incentives for smoking cessation had significantly higher retention (lower attrition) in intervention arms compared to comparator arms,Multivariate metaregression,OR [95% CI]; p-value; N,"1.35 [1.77, 1.02]; p=0.04","Retention strategies, non-smoking related financial inentives, biomarker assessments, primary endpoint, intervention format, treatment frequency, pharmacological support, setting, adjuvant interventions, number of behaviour change techniques (BCTs) used"
94,Condition type,Participants with active conditions were significantly more likely to dropout than participants with passive conditions as study sample size increased,Multivariate metaregression,Log OR [95% CI]; p-value,0.0022 [0.0005-0.0039]; p=0.01,
