ref,author_year
49,Levinson et al. (2022)
55,Bevens et al. (2022)
70,Bricca et al. (2022)
94,Goldberg et al. (2021)
95,Harris et al. (2021)
99,Zhang et al. (2021)
102,Song et al. (2021)
107,Rehman et al. (2021)
111,Vancampfort et al. (2021)
113,Iliakis et al. (2021)
120,Edwards-Stewart et al. (2021)
121,Kline et al. (2021)
145,Elsner et al. (2020)
146,Minozzi et al. (2020)
153,Shah et al. (2020)
201,Zhou et al. (2020)
211,Torous et al. (2020)
214,Furukawa et al. (2020)
215,Jabardo-Camprubi et al. (2020)
217,Windle et al. (2020)
221,Li et al. (2020)
222,Linardon et al. (2020)
225,Palmowski et al. (2020)
227,Dixon et al. (2020)
256,Matsusaki et al. (2019)
269,Benbow et al. (2019)
282,Linardon et al. (2019)
288,DeCrescenzo et al. (2018)
301,Dudas et al. (2018)
326,Linardon et al. (2018)
327,Ong et al. (2018)
358,Pozza et al. (2017)
378,Leucht et al. (2017)
396,Swift et al. (2017)
399,Szymczynska et al. (2017)
413,Vancampfort et al. (2017)
415,de Campos Moreira et al. (2017)
417,Arafah et al. (2017)
440,Ibrahim et al. (2016)
448,Ong et al. (2016)
463,Vancampfort et al. (2016)
465,Stubbs et al. (2016)
490,Cooper et al. (2015)
498,Karyotaki et al. (2015)
510,Crutzen et al. (2015)
535,Makatsori et al. (2014)
538,Schalkwijk et al. (2014)
551,Hornyak et al. (2014)
567,Rutherford et al. (2013)
569,Cunill et al. (2013)
570,Kredo et al. (2013)
586,Imel et al. (2013)
590,Koog et al. (2013)
638,Mitsikostas et al. (2012)
657,Gehling et al. (2011)
688,Papadopoulos et al. (2010)
693,Villeneuve et al. (2010)
698,Tedeschini et al. (2010)
713,Cuijpers et al. (2009)
723,Fabricatore et al. (2009)
725,Heo et al. (2009)
731,Rabinowitz et al. (2009)
732,Reas et al. (2008)
759,Weinmann et al. (2008)
778,Heneghan et al. (2007)
788,Miyasaka et al. (2006)
810,Martin et al. (2006)
840,Pampallona et al. (2004)
854,Frampton et al. (2003)
869,Bacaltchuk et al. (2001)
875,Wahlbeck et al. (2001)
956,McVay et al. (2023)
996,Hernandez-Rodriguez et al. (2022)
1035,Chen et al. (2021)
1198,Doyle et al. (2021)
1202,Kato et al. (2021)
1360,Gagliardi et al. (2019)
1519,Bighelli et al. (2018)
1643,Aparicio et al. (2016)
1655,Cramer et al. (2016)
2125,Lam et al. (2022)
2260,Stahl et al. (1993)
2307,Lewis et al. (2020)
2342,Albano et al. (2019)
2520,Huang et al. (2014)
3001,Hrobjartsson et al. (2014)
3048,Somerson et al. (2016)
3123,Wasmann et al. (2019)
