ref,participant_char,outcome,tidy_participant_char,participant_char_group
49,Baseline PTSD symptoms,associated,Index condition symptoms,Condition-related
49,Age,unassociated,Age,Demographics
49,gender,unassociated,Gender,Demographics
49,military history,unassociated,Military history,Military experience
70,Ongoing physical condition,associated,Ongoing conditions,Medical history
70,Gender,associated,Gender,Demographics
70,Motivation to quit,associated,Motivation to quit,Perceptions/Motivations
70,Age,unassociated,Age,Demographics
70,socioeconomic status,unassociated,Socioeconomic status,Demographics
70,nicotine dependency,unassociated,Smoking status,Substance use
70,ongoing mental health condition,unassociated,Ongoing conditions,Medical history
70,health triggers,unassociated,Health triggers,Health/Wellbeing
70,Age,unassociated,Age,Demographics
70,socioeconomic status,unassociated,Socioeconomic status,Demographics
70,nicotine dependency,unassociated,Smoking status,Substance use
70,ongoing mental health condition,unassociated,Ongoing conditions,Medical history
70,health triggers,unassociated,Health triggers,Health/Wellbeing
70,Age,unassociated,Age,Demographics
70,socioeconomic status,unassociated,Socioeconomic status,Demographics
70,nicotine dependency,unassociated,Smoking status,Substance use
70,ongoing mental health condition,unassociated,Ongoing conditions,Medical history
70,health triggers,unassociated,Health triggers,Health/Wellbeing
95,Age,associated,Age,Demographics
95,Hypertension,associated,Hypertension,Medical history
95,Gender,unassociated,Gender,Demographics
95,BMI,unassociated,BMI,Demographics
95,socioeconomic status,unassociated,Socioeconomic status,Demographics
95,baseline condition severity,unassociated,Index condition severity,Condition-related
95,number of comorbidites,unassociated,Number of comorbidities,Comorbidity
95,severity of comorbidities,unassociated,Comorbidity severity,Comorbidity
95,physical function,unassociated,Physical function,Physical function
95,HRQoL,unassociated,Quality of Life,Health/Wellbeing
95,depression and anxiety,unassociated,Depression/Anxiety,Depression/Anxiety
95,Gender,unassociated,Gender,Demographics
95,BMI,unassociated,BMI,Demographics
95,socioeconomic status,unassociated,Socioeconomic status,Demographics
95,baseline condition severity,unassociated,Index condition severity,Condition-related
95,number of comorbidites,unassociated,Number of comorbidities,Comorbidity
95,severity of comorbidities,unassociated,Comorbidity severity,Comorbidity
