ref,domain,score
49,q01_design,3
49,q02_selection_extraction,4
49,q03_search,4
49,q04_status,4
49,q05_list_studies,2
49,q06_chars,3
49,q07_qual_assess,4
49,q08_qual_conclu,1
49,q09_combine,3
49,q10_pub_bias,1
49,q11_coi,2
49,total,31
55,q01_design,3
55,q02_selection_extraction,2
55,q03_search,4
55,q04_status,2
55,q05_list_studies,2
55,q06_chars,4
55,q07_qual_assess,3
55,q08_qual_conclu,1
55,q09_combine,3
55,q10_pub_bias,3
55,q11_coi,2
55,total,29
70,q01_design,4
70,q02_selection_extraction,4
70,q03_search,4
70,q04_status,1
70,q05_list_studies,1
70,q06_chars,1
70,q07_qual_assess,4
70,q08_qual_conclu,1
70,q09_combine,1
70,q10_pub_bias,1
70,q11_coi,3
70,total,25
94,q01_design,2
94,q02_selection_extraction,3
94,q03_search,4
94,q04_status,2
94,q05_list_studies,2
94,q06_chars,3
94,q07_qual_assess,4
94,q08_qual_conclu,3
94,q09_combine,3
94,q10_pub_bias,3
94,q11_coi,3
94,total,32
95,q01_design,4
95,q02_selection_extraction,4
95,q03_search,4
95,q04_status,2
95,q05_list_studies,2
95,q06_chars,3
95,q07_qual_assess,4
95,q08_qual_conclu,1
95,q09_combine,3
95,q10_pub_bias,2
95,q11_coi,2
95,total,31
99,q01_design,3
99,q02_selection_extraction,4
99,q03_search,4
99,q04_status,3
99,q05_list_studies,2
99,q06_chars,3
99,q07_qual_assess,4
99,q08_qual_conclu,3
99,q09_combine,4
99,q10_pub_bias,3
99,q11_coi,2
99,total,35
102,q01_design,4
102,q02_selection_extraction,4
102,q03_search,4
102,q04_status,2
102,q05_list_studies,2
102,q06_chars,3
102,q07_qual_assess,2
102,q08_qual_conclu,4
102,q09_combine,1
102,q10_pub_bias,1
102,q11_coi,3
102,total,30
107,q01_design,4
107,q02_selection_extraction,4
107,q03_search,4
107,q04_status,1
107,q05_list_studies,2
107,q06_chars,3
107,q07_qual_assess,4
107,q08_qual_conclu,2
107,q09_combine,3
107,q10_pub_bias,1
107,q11_coi,2
107,total,30
111,q01_design,3
111,q02_selection_extraction,4
111,q03_search,4
111,q04_status,3
111,q05_list_studies,2
111,q06_chars,3
111,q07_qual_assess,1
111,q08_qual_conclu,1
111,q09_combine,3
111,q10_pub_bias,3
111,q11_coi,3
111,total,30
113,q01_design,2
113,q02_selection_extraction,3
113,q03_search,3
113,q04_status,3
113,q05_list_studies,2
113,q06_chars,3
113,q07_qual_assess,3
113,q08_qual_conclu,1
113,q09_combine,2
113,q10_pub_bias,2
