ref,author_year,attrition_outcome,attrition_outcome_def,attrition_outcome_tidy,attrition_outcome_group,attrition_analysis,effect_signif,n_rcts,participants_unit,participants_study,attrition_measure,attrition_stat,attrition_study,condition,condition_group1,condition_group2
70,Bricca et al. (2022),Retention rate,Number providing biochemically verified outcomes at any or follow-up assessment/number randomised,Retention,Retention,"Mixed effects model, metaregression","Odds ratios, 95% CI, p-value",172,N,89639,NR,NR,NR,Smoking cessation,Smoking cessation,Addiction
70,Bricca et al. (2022),Differential retention rate,Difference in number providing biochemically verified outcomes in the intervention group and number providing biochemically verified outcomes in the comparator group/number randomised,Differential retention,Retention,"Mixed effects model, metaregression","Odds ratios, 95% CI, p-value",172,N,89639,NR,NR,NR,Smoking cessation,Smoking cessation,Addiction
146,Minozzi et al. (2020),Dropout from treatment,Number of women who had dropped out at the end of the intervention,Treatment dropout,Attrition,Random effects model,"Risk ratio, 95% CI",3,N,223,NR,NR,NR,Addiction,Addiction,Addiction
153,Shah et al. (2020),Dropout attrition,Not defined,Dropout/Attrition,Attrition,"Random effects model, Mantel-Haenszel method, Two-tailed test, Sensitivty analysis","Risk ratio, 95% CI, p-value",11,NR,NR,NR,NR,NR,Smoking cessation,Smoking cessation,Addiction
288,DeCrescenzo et al. (2018),Acceptability (dropout due to any cause),Proportion of participants who dropped out from the study due to any cause,Dropout/Attrition,Attrition,"Random effects model, Network meta-analysis, Subgroup network meta-analysis","Odds ratios, 95% CI, p-value",50,N,6942,NR,NR,NR,Addiction,Addiction,Addiction
535,Makatsori et al. (2014),Dropout,Any situation causing premature withdrawal from the trial after randomisation and before the stated completion of the trial,Dropout/Attrition,Attrition,"Random effects model, Subgroup analyses","Dropout %, relative risk, 95% CI, p-value",81,N,9998,Composite dropout rate,% [95% CI],"14 [11.9, 16]",Allergic diseases,Allergy,Allergy
102,Song et al. (2021),Retention rate,Not defined,Retention,Retention,Quasipoisson regression,"Coefficient, standard error, p-value",55,N,12388,NR,NR,NR,Cancer,Cancer,Cancer
996,Hernandez-Rodriguez et al. (2022),Dropout rate,When a participant did not complete the intervention or follow-up period after the randomisation process,Dropout/Attrition,Attrition,"Random effects model, Metaregression, Sensitivity analyses, Subgroup analyses","OR, 95% CI, Coefficient, p-value",17,N,6593,Overall pooled dropout rate,% [95% CI],"9.5 [5.0, 17.5]",Cancer,Cancer,Cancer
145,Elsner et al. (2020),Dropouts,Not defined,Dropout/Attrition,Attrition,"Random effects model, Mantel-Haenszel method","Risk difference, 95% CI",22,NR,NR,NR,NR,NR,Stroke,Stroke,Cardiometabolic
215,Jabardo-Camprubi et al. (2020),Dropout odds ratio,Not defined,Dropout/Attrition,Attrition,"Random effects model, Subgroup analyses","Odds ratio, 95% CI",23,N,1684,NR,NR,NR,T2D,Type 2 diabetes,Cardiometabolic
