ref,author_year,trial_char,outcome,tidy_trial_char_tabular,tidy_trial_char_heatmap,trial_char_group,tidy_trial_char_old
49,Levinson et al. (2022),Treatment frequency,1,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
49,Levinson et al. (2022),Treatment frequency,1,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
49,Levinson et al. (2022),Location,1,Trial location(s),Trial design | Location(s),Trial design,Trial design
49,Levinson et al. (2022),Publication year,0,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
49,Levinson et al. (2022),number of sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
49,Levinson et al. (2022),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
49,Levinson et al. (2022),intervention with placebo pill,0,Intervention components,Intervention components,Intervention-related,Intervention components
49,Levinson et al. (2022),deviation bias,0,Risk of bias,Quality/Risk of bias,Quality/Risk of bias,Risk of bias
49,Levinson et al. (2022),Publication year,0,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
49,Levinson et al. (2022),number of sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
49,Levinson et al. (2022),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
49,Levinson et al. (2022),intervention with placebo pill,0,Intervention components,Intervention components,Intervention-related,Intervention components
49,Levinson et al. (2022),deviation bias,0,Risk of bias,Quality/Risk of bias,Quality/Risk of bias,Risk of bias
49,Levinson et al. (2022),Publication year,0,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
49,Levinson et al. (2022),number of sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
49,Levinson et al. (2022),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
49,Levinson et al. (2022),intervention with placebo pill,0,Intervention components,Intervention components,Intervention-related,Intervention components
49,Levinson et al. (2022),deviation bias,0,Risk of bias,Quality/Risk of bias,Quality/Risk of bias,Risk of bias
55,Bevens et al. (2022),Multimedia elements score,1,Participant engagement,Outcome | Engagement/Response,Outcome measures,Outcome measures
55,Bevens et al. (2022),Multimedia elements score,1,Participant engagement,Outcome | Engagement/Response,Outcome measures,Outcome measures
55,Bevens et al. (2022),Overall engagement score,1,Participant engagement,Outcome | Engagement/Response,Outcome measures,Outcome measures
